Tag	TYPE
ZNF808	other
POU2F1	other
FOXA2	A
HOXA3	other
ONECUT2	other
PDX1	A
HOXD12	other
FEV	other
HOXA10	other
ARID5B	other
SATB2	R
HOXA5	other
NFIA	A
NFIC	A
KLF3	AR
PAX6	R
SP7	A
KLF8	R
NFIX	A
FOXA3	A
NFIB	A
FOXA1	AR
HOXA9	other
DLX3	A
HOXB2	other
USF1	other
CPHXL	A
RFX5	A
TPRX1	other
HOXA1	other
KLF16	other
FLI1	A
TEAD1	A
SOX2	A
CRX	A
TFAP2A	other
TFAP4	A
MAX	AR
FOXJ2	A
HNF4A	AR
ELF2	A
TBX21	AR
TCF3	other
EGR2	A
RFX3	R
LEUTX	other
TLX1	other
ETV2	other
KLF12	R
POU5F1	other
TLX3	other
GCM2	other
HNF1B	A
SPI1	A
ELF1	A
FOXP1	R
LHX2	A
PAX7	other
KLF15	A
ZBTB7B	other
GATA3	A
HOXA2	other
BHLHA15	other
SPIC	other
ELK3	AR
GATA2	A
OTX2	other
GSC	other
PAX9	other
SOX6	AR
TBXT	A
FOXJ3	other
LHX3	A
RFX2	other
SOX15	AR
SATB1	R
HOXA11	other
HOXA4	other
DUX4	A
ERG	other
HSF1	A
KLF5	A
MYB	A
SOX5	A
FOXL1	other
RFX1	A
ZHX2	R
PAX8	other
PBX4	A
LHX4	other
MYOD1	A
VSX1	other
YY1	other
LHX1	other
SIX5	A
SOX17	A
CEBPG	A
OTX1	other
PAX2	other
SPIB	A
TLX2	A
ELF4	A
RFX6	other
ZGPAT	R
NR2F6	R
PITX1	A
GABPA	other
KLF9	other
FIGLA	other
FOXI1	A
GCM1	other
ZSCAN4	other
ELK1	A
IRF4	A
MYC	A
NFYC	A
ETV3	R
ETV3L	other
PITX2	other
TPRX2	R
GLI2	AR
IRF8	AR
PRDM1	R
SOX10	A
SOX9	A
CPHXL2	other
FOS	other
HSF4	AR
KLF4	A
ETV7	R
HES7	R
JAZF1	other
SMAD1	other
ELF3	AR
ELF5	A
FOXQ1	other
LHX6	other
TEAD2	A
ETS1	other
GATA1	AR
PPARG	A
TEAD3	A
ALX4	A
GLI3	AR
ZNF263	other
ETV4	A
ZBTB1	R
CPEB1	AR
ETV6	R
TAL1	other
ZNF200	other
DPRX	R
E2F3	A
GABPB1	other
IRF1	AR
MYSM1	A
RFX4	A
ZBTB33	other
E2F1	A
GPBP1L1	other
HNF1A	A
KLF6	A
LHX8	other
NFKB1	A
SIX4	other
SP1	AR
ZBTB9	other
DUXA	R
DUXB	other
ISX	A
RFX8	other
EHF	other
ETV1	A
STAT1	A
ERF	R
ETS2	other
ETV5	other
FOXO1	A
KLF10	R
MEF2A	A
SOX4	A
STAT3	A
STAT4	A
CREB1	A
ELK4	AR
ESR1	A
IRF3	A
IRF5	other
IRF9	A
NFATC3	other
NFATC4	other
SPDEF	A
SPZ1	other
STAT5B	other
TP53	other
