Tag	TF_A	TF_R	TF_AR	cofactor_A	cofactor_R	cofactor_AR
ZNF808	2	5	1	1	3	1
POU2F1	26	18	15	8	12	4
FOXA2	26	14	10	12	13	1
HOXA3	19	15	12	10	13	2
ONECUT2	20	16	5	9	11	0
PDX1	15	12	9	9	9	2
HOXD12	24	15	7	10	15	2
FEV	16	17	10	7	15	2
HOXA10	17	15	9	8	6	1
ARID5B	22	13	7	13	14	2
SATB2	11	14	9	28	16	5
HOXA5	18	14	9	5	2	2
NFIA	14	11	9	11	12	3
NFIC	17	12	8	8	11	2
KLF3	10	13	8	7	18	2
PAX6	8	13	10	5	13	4
SP7	16	9	4	14	16	4
KLF8	8	11	9	9	11	5
NFIX	12	10	8	6	12	4
FOXA3	16	10	7	12	12	1
NFIB	13	12	7	10	11	0
FOXA1	16	10	8	8	10	3
HOXA9	13	14	6	7	5	1
DLX3	11	13	7	12	8	3
HOXB2	10	12	4	9	13	4
USF1	12	9	9	10	9	5
CPHXL	11	11	3	11	13	2
RFX5	19	6	9	7	7	3
TPRX1	10	13	7	12	17	1
HOXA1	13	4	6	21	13	7
KLF16	9	6	7	6	11	5
FLI1	10	10	5	6	9	1
TEAD1	12	10	8	3	8	1
SOX2	14	9	7	11	7	5
CRX	11	12	7	10	10	2
TFAP2A	9	6	6	7	6	1
TFAP4	15	10	5	7	10	0
MAX	11	7	4	8	10	2
FOXJ2	12	9	4	6	6	2
HNF4A	3	9	7	14	11	3
ELF2	5	4	6	9	10	1
TBX21	14	5	7	11	6	2
TCF3	16	4	3	25	12	5
EGR2	8	7	5	8	16	0
RFX3	12	9	6	7	6	1
LEUTX	9	10	5	6	9	4
TLX1	6	10	6	9	9	2
ETV2	10	6	4	10	9	3
KLF12	7	8	6	6	10	2
POU5F1	10	9	5	6	6	1
TLX3	5	9	4	10	11	2
GCM2	12	6	5	7	5	2
HNF1B	5	9	6	8	10	2
SPI1	9	6	4	4	7	3
ELF1	6	3	7	9	10	1
FOXP1	10	9	6	4	6	0
LHX2	5	11	6	2	5	2
PAX7	6	8	7	3	9	1
KLF15	2	7	3	8	9	4
ZBTB7B	1	6	2	6	3	1
GATA3	6	5	2	3	11	3
HOXA2	5	7	4	3	3	2
BHLHA15	12	2	6	0	1	2
SPIC	8	7	4	3	6	2
ELK3	4	10	6	1	9	1
GATA2	4	9	3	5	11	1
OTX2	6	7	3	3	4	0
GSC	6	11	2	3	6	0
PAX9	7	8	5	8	9	1
SOX6	5	12	4	7	12	1
TBXT	3	8	2	8	11	3
FOXJ3	6	6	5	4	1	1
LHX3	4	13	3	2	7	0
RFX2	7	3	4	4	2	1
SOX15	4	9	4	5	5	1
SATB1	4	11	3	1	3	0
HOXA11	6	9	3	4	2	0
HOXA4	6	5	4	1	4	1
DUX4	9	4	3	20	9	5
ERG	6	6	0	6	10	1
HSF1	3	4	3	12	7	0
KLF5	4	6	2	8	9	3
MYB	2	6	4	3	4	1
SOX5	3	12	4	5	5	2
FOXL1	2	9	4	1	10	1
RFX1	7	6	1	3	1	0
ZHX2	4	3	2	18	11	3
PAX8	4	8	1	4	9	2
PBX4	5	5	3	6	4	0
LHX4	4	8	3	4	5	2
MYOD1	2	3	2	5	6	0
VSX1	3	8	5	1	6	0
YY1	1	3	0	6	6	4
LHX1	2	5	1	1	2	1
SIX5	4	3	3	6	2	1
SOX17	3	6	1	5	6	2
CEBPG	5	2	3	2	1	1
OTX1	1	3	2	1	4	0
PAX2	2	8	1	1	7	1
SPIB	3	3	2	3	2	1
TLX2	3	5	2	5	7	1
ELF4	3	4	1	7	7	3
RFX6	3	5	1	2	8	1
ZGPAT	3	3	1	0	3	1
NR2F6	6	3	1	3	2	1
PITX1	2	4	3	3	2	0
GABPA	2	2	2	6	7	0
KLF9	0	2	5	2	5	0
FIGLA	1	3	2	2	1	0
FOXI1	2	6	1	2	8	0
GCM1	1	2	0	2	5	0
ZSCAN4	0	1	1	3	6	0
ELK1	7	1	3	1	4	0
IRF4	3	5	0	3	5	0
MYC	2	1	1	12	4	2
NFYC	5	1	1	1	2	1
ETV3	2	2	3	0	0	1
ETV3L	2	5	2	1	1	0
PITX2	1	3	1	0	2	0
TPRX2	1	3	0	5	9	4
GLI2	4	0	2	5	9	1
IRF8	3	1	2	0	1	0
PRDM1	1	5	0	1	8	0
SOX10	3	2	0	3	2	1
SOX9	2	3	0	3	2	0
CPHXL2	0	1	1	2	5	0
FOS	3	1	0	1	3	0
HSF4	3	0	3	1	1	0
KLF4	2	2	0	4	2	1
ETV7	2	3	1	0	2	1
HES7	2	3	0	1	3	0
JAZF1	2	0	3	5	2	2
SMAD1	1	0	1	1	1	0
ELF3	1	0	1	0	2	0
ELF5	1	3	0	1	2	0
FOXQ1	0	3	0	0	7	0
LHX6	0	1	1	1	1	0
TEAD2	4	1	0	0	2	1
ETS1	1	1	0	1	3	0
GATA1	0	2	1	1	7	2
PPARG	1	1	0	3	2	1
TEAD3	3	0	1	2	4	1
ALX4	2	3	1	0	0	0
GLI3	0	1	2	0	10	1
ZNF263	0	1	0	1	0	0
ETV4	2	0	0	2	4	1
ZBTB1	1	2	1	1	2	0
CPEB1	1	2	1	2	7	4
ETV6	0	2	0	3	2	1
TAL1	0	0	1	0	0	0
ZNF200	0	1	1	0	0	1
DPRX	0	3	1	0	0	0
E2F3	2	1	1	2	3	0
GABPB1	1	2	0	1	0	0
IRF1	0	2	1	0	0	0
MYSM1	2	0	0	1	2	0
RFX4	1	1	0	1	2	0
ZBTB33	0	1	0	2	2	0
E2F1	4	0	0	2	2	0
GPBP1L1	0	1	0	1	7	1
HNF1A	1	1	0	0	2	0
KLF6	1	0	0	3	2	1
LHX8	0	0	0	0	2	0
NFKB1	2	0	2	0	0	0
SIX4	1	0	0	1	2	0
SP1	1	0	1	0	0	0
ZBTB9	0	0	0	4	0	1
DUXA	0	1	0	0	0	0
DUXB	0	2	0	0	0	0
ISX	1	1	0	0	5	0
RFX8	1	0	0	1	2	0
EHF	0	0	0	0	0	0
ETV1	1	0	0	0	0	0
STAT1	3	0	0	0	0	0
ERF	0	1	0	0	0	0
ETS2	0	0	0	0	0	0
ETV5	0	0	0	0	0	0
FOXO1	1	0	0	0	1	0
KLF10	0	1	0	0	0	0
MEF2A	1	0	0	0	0	0
SOX4	1	1	0	1	1	0
STAT3	2	0	0	0	0	0
STAT4	2	0	0	0	1	0
CREB1	1	0	0	0	0	0
ELK4	0	0	1	0	0	0
ESR1	1	0	0	0	0	0
IRF3	1	0	0	0	0	0
IRF5	0	0	0	0	0	0
IRF9	1	0	0	0	0	0
NFATC3	0	0	0	0	0	0
NFATC4	0	0	0	0	0	1
SPDEF	1	0	0	0	0	0
SPZ1	0	0	0	0	0	0
STAT5B	0	0	0	1	0	0
TP53	0	0	0	0	0	0
