Tag	promoter	enhancer	TF_binding_site	CTCF_binding_site	open_chromatin_region
ZBTB38	0.0153846153846154	0	0	0.2	0
ZBTB33	0.0232558139534884	0	0	0.209302325581395	0.0232558139534884
HSF1	0	0	0	0.22	0
ETV6	0	0.0169491525423729	0	0.23728813559322	0
GCM2	0	0.025974025974026	0	0.168831168831169	0
GPBP1L1	0.0161290322580645	0	0	0.17741935483871	0
SIX5	0.0131578947368421	0.0131578947368421	0	0.171052631578947	0
NFYA	0.0116279069767442	0.0232558139534884	0	0.162790697674419	0.0232558139534884
ZBTB1	0.0099009900990099	0.0297029702970297	0	0.158415841584158	0.0297029702970297
MYSM1	0	0.0632911392405063	0	0.177215189873418	0.0506329113924051
GABPB1	0	0.117647058823529	0	0.294117647058824	0.0196078431372549
ZHX2	0.00525677315002022	0.106348564496563	0.00566114031540639	0.0250707642539426	0.0161746866154468
ARID5B	0.00835178104246327	0.168444355001006	0.00764741396659288	0.0268665727510566	0.0256590863352787
SIX4	0.00278551532033426	0.136490250696379	0.00557103064066852	0.0557103064066852	0.0222841225626741
HOXA4	0.0218320954310151	0.148548278190412	0.0130542426288544	0.0470402880936304	0.0321854602745892
DUX4	0.0491332247868978	0.14031223062925	0.00900296906426588	0.0385020591897328	0.0291159850589024
BAZ2A	0.055990668221963	0.149975004165972	0.0084985835694051	0.0536577237127145	0.0244959173471088
NFIA	0.0474140438652627	0.182645878177904	0.00791203676770027	0.0536098667752632	0.025539589272209
ZBTB9	0.0480769230769231	0.182692307692308	0	0.0576923076923077	0.0384615384615385
MEF2A	0.0721021078318153	0.153683935690543	0.0107450216406744	0.0637571424267682	0.020726845482572
ISX	0.0924623531358597	0.148725798444481	0.0106321363561145	0.0569667383749793	0.0201059076617574
VSX1	0.0869913556820578	0.163061353573688	0.011258697027198	0.058022348724436	0.0212523719165085
DUXA	0.0881361479299624	0.169759450171821	0.0118802160039273	0.076255931926035	0.0227785959744723
TCF3	0.0114278840370504	0.219295079995188	0.00974377481053771	0.0404186214363046	0.0255022254300493
FOXA1	0.0110120608285265	0.219542038105226	0.0113616500611781	0.0395035832896347	0.028666317077434
FOXO1	0.0263157894736842	0.219433198380567	0.017004048582996	0.0591093117408907	0.0190283400809717
POU5F1	0.0657833923894623	0.235402865506085	0.00831921121552919	0.0514558619627176	0.0260360499152673
NFIC	0.0847355933127881	0.211470804810865	0.00897264570322088	0.0703902691793711	0.0255543131426078
SOX9	0.203156812546616	0.132602253714194	0.00931320176587981	0.061503416856492	0.0144334468925756
SOX10	0.176768222803641	0.148333945985686	0.0105304127835319	0.0757886998075551	0.0166713516552425
IRF1	0.205148293228875	0.15752658086178	0.0080768513337064	0.0708636448423802	0.0251632158179444
TPRX2	0.21372064276885	0.168016069221261	0.0101050679851669	0.0711372064276885	0.0166872682323857
FOXL1	0.216617258232513	0.18232513420399	0.0118099511257111	0.0749298934380258	0.0207194936303181
XBP1	0.196653489013515	0.166865863749196	0.0123195734117863	0.0963500965339708	0.0182035487726395
ESR1	0.134770889487871	0.163045272017163	0.0132020463171792	0.0696958028494417	0.0178227625281919
TFAP4	0.109502831969792	0.235368156073002	0.00943989930774072	0.0811831340465702	0.0270610446821901
NKX2-5	0.153757770379754	0.23280205049642	0.010930088678078	0.0744483398638895	0.0250419821465398
HOXA3	0.199671996719967	0.221675550088834	0.0151018176848435	0.162293289599563	0.022140221402214
NFYC	0.30512748669095	0.0728495376856262	0.00887270010273653	0.0531428037732325	0.0123283833006444
