Group	PEAK_number
cluster_a	29
cluster_a	1
cluster_a	322
cluster_a	12
cluster_a	29
cluster_a	185
cluster_a	3097
cluster_a	7
cluster_a	0
cluster_a	4273
cluster_a	10284
cluster_a	344
cluster_a	943
cluster_a	309
cluster_a	621
cluster_a	982
cluster_a	8590
cluster_a	188
cluster_a	2
cluster_a	515
cluster_a	1731
cluster_a	287
cluster_a	18085
cluster_a	754
cluster_a	615
cluster_a	482
cluster_a	3
cluster_a	140
cluster_a	7441
cluster_a	3245
cluster_a	9591
cluster_a	636
cluster_a	323
cluster_a	568
cluster_a	0
cluster_a	1
cluster_a	271
cluster_a	0
cluster_a	12488
cluster_a	7110
cluster_a	4876
cluster_a	2188
cluster_a	12
cluster_a	1659
cluster_a	5
cluster_a	6404
cluster_a	4965
cluster_a	371
cluster_a	26999
cluster_a	2715
cluster_a	3740
cluster_a	1701
cluster_a	1297
cluster_a	3416
cluster_a	6704
cluster_a	4949
cluster_a	4778
cluster_a	18126
cluster_a	3368
cluster_a	5057
cluster_a	30
cluster_a	1781
cluster_a	11851
cluster_a	9
cluster_a	4327
cluster_a	854
cluster_b	0
cluster_b	7723
cluster_b	126
cluster_b	852
cluster_b	1607
cluster_b	4793
cluster_b	12
cluster_b	22140
cluster_b	1069
cluster_b	3
cluster_b	12309
cluster_b	2751
cluster_b	292
cluster_b	0
cluster_b	85
cluster_b	127
cluster_b	391
cluster_b	7
cluster_b	55
cluster_b	128
cluster_b	161
cluster_b	9
cluster_b	4
cluster_b	0
cluster_b	1590
cluster_b	22
cluster_b	181
cluster_b	1465
cluster_b	24
cluster_b	6904
cluster_b	8
cluster_b	0
cluster_b	300
cluster_b	88
cluster_b	176
cluster_b	907
cluster_b	1095
cluster_b	5
cluster_b	1355
cluster_b	9734
cluster_b	1376
cluster_b	537
cluster_b	14034
cluster_b	112
cluster_b	21922
cluster_b	159
cluster_b	355
cluster_b	10
cluster_b	1464
cluster_b	6
cluster_b	3
cluster_b	2264
cluster_b	61
cluster_b	2
cluster_b	2639
cluster_b	6
cluster_b	8195
cluster_b	10
cluster_c	21
cluster_c	750
cluster_c	154
cluster_c	0
cluster_c	47
cluster_c	2681
cluster_c	4046
cluster_c	1713
cluster_c	35
cluster_c	162
cluster_c	94
cluster_c	21
cluster_c	35
cluster_c	0
cluster_c	2
cluster_c	19
cluster_c	37
cluster_c	5
cluster_c	17
cluster_c	0
cluster_c	24
cluster_c	380
cluster_c	0
cluster_c	3170
cluster_c	14
cluster_c	34
cluster_c	59
cluster_c	2051
cluster_c	17916
cluster_c	0
cluster_c	11
cluster_c	72
cluster_c	794
cluster_c	11
cluster_c	42
cluster_c	3
cluster_c	87
cluster_c	30
cluster_c	21
cluster_c	7
cluster_c	5
cluster_c	3372
cluster_c	970
cluster_c	3005
cluster_c	3
cluster_c	3714
cluster_c	164
cluster_c	533
cluster_c	18
cluster_c	1551
cluster_c	7958
cluster_c	1186
cluster_c	6
cluster_c	295
cluster_c	17
cluster_c	4
cluster_c	71
cluster_c	919
cluster_c	88
cluster_c	21
