Group	PPI_number
1promoter_like	382
1promoter_like	42
1promoter_like	253
1promoter_like	0
1promoter_like	228
1promoter_like	153
1promoter_like	58
1promoter_like	73
1promoter_like	108
1promoter_like	249
1promoter_like	96
1promoter_like	53
1promoter_like	73
1promoter_like	0
1promoter_like	93
1promoter_like	90
1promoter_like	190
1promoter_like	259
1promoter_like	5
1promoter_like	476
1promoter_like	19
1promoter_like	12
1promoter_like	79
1promoter_like	141
1promoter_like	42
1promoter_like	167
1promoter_like	11
1promoter_like	29
1promoter_like	331
1promoter_like	377
1promoter_like	8
1promoter_like	270
1promoter_like	339
1promoter_like	154
1promoter_like	302
1promoter_like	37
1promoter_like	111
1promoter_like	189
1promoter_like	25
1promoter_like	42
1promoter_like	138
1promoter_like	4
1promoter_like	9
1promoter_like	307
1promoter_like	124
1promoter_like	21
1promoter_like	315
1promoter_like	105
1promoter_like	224
1promoter_like	52
1promoter_like	0
1promoter_like	49
1promoter_like	27
1promoter_like	202
1promoter_like	24
1promoter_like	33
1promoter_like	5
1promoter_like	66
1promoter_like	366
1promoter_like	1
1promoter_like	165
1promoter_like	118
1promoter_like	330
1promoter_like	38
1promoter_like	0
2enhancer_like	254
2enhancer_like	243
2enhancer_like	387
2enhancer_like	233
2enhancer_like	240
2enhancer_like	67
2enhancer_like	237
2enhancer_like	283
2enhancer_like	13
2enhancer_like	6
2enhancer_like	266
2enhancer_like	195
2enhancer_like	351
2enhancer_like	231
2enhancer_like	193
2enhancer_like	31
2enhancer_like	212
2enhancer_like	17
2enhancer_like	303
2enhancer_like	162
2enhancer_like	45
2enhancer_like	145
2enhancer_like	57
2enhancer_like	225
2enhancer_like	62
2enhancer_like	325
2enhancer_like	136
2enhancer_like	28
2enhancer_like	34
2enhancer_like	34
2enhancer_like	351
2enhancer_like	130
2enhancer_like	305
2enhancer_like	118
2enhancer_like	310
2enhancer_like	110
2enhancer_like	82
3pro_enh_ctcf_avg	247
3pro_enh_ctcf_avg	270
3pro_enh_ctcf_avg	245
3pro_enh_ctcf_avg	293
3pro_enh_ctcf_avg	112
3pro_enh_ctcf_avg	277
3pro_enh_ctcf_avg	183
3pro_enh_ctcf_avg	294
3pro_enh_ctcf_avg	261
3pro_enh_ctcf_avg	396
3pro_enh_ctcf_avg	118
3pro_enh_ctcf_avg	264
3pro_enh_ctcf_avg	271
3pro_enh_ctcf_avg	20
3pro_enh_ctcf_avg	375
3pro_enh_ctcf_avg	111
3pro_enh_ctcf_avg	209
3pro_enh_ctcf_avg	58
3pro_enh_ctcf_avg	256
3pro_enh_ctcf_avg	166
3pro_enh_ctcf_avg	78
3pro_enh_ctcf_avg	101
3pro_enh_ctcf_avg	140
3pro_enh_ctcf_avg	231
3pro_enh_ctcf_avg	17
3pro_enh_ctcf_avg	196
3pro_enh_ctcf_avg	187
3pro_enh_ctcf_avg	30
3pro_enh_ctcf_avg	22
3pro_enh_ctcf_avg	84
3pro_enh_ctcf_avg	255
3pro_enh_ctcf_avg	31
3pro_enh_ctcf_avg	190
3pro_enh_ctcf_avg	53
3pro_enh_ctcf_avg	103
3pro_enh_ctcf_avg	307
3pro_enh_ctcf_avg	426
3pro_enh_ctcf_avg	44
3pro_enh_ctcf_avg	103
3pro_enh_ctcf_avg	60
3pro_enh_ctcf_avg	3
3pro_enh_ctcf_avg	458
3pro_enh_ctcf_avg	110
3pro_enh_ctcf_avg	92
3pro_enh_ctcf_avg	55
3pro_enh_ctcf_avg	127
3pro_enh_ctcf_avg	207
3pro_enh_ctcf_avg	65
3pro_enh_ctcf_avg	9
3pro_enh_ctcf_avg	106
3pro_enh_ctcf_avg	422
3pro_enh_ctcf_avg	16
3pro_enh_ctcf_avg	187
3pro_enh_ctcf_avg	79
3pro_enh_ctcf_avg	304
3pro_enh_ctcf_avg	116
3pro_enh_ctcf_avg	5
3pro_enh_ctcf_avg	147
3pro_enh_ctcf_avg	16
3pro_enh_ctcf_avg	4
3pro_enh_ctcf_avg	53
3pro_enh_ctcf_avg	21
3pro_enh_ctcf_avg	18
3pro_enh_ctcf_avg	22
3pro_enh_ctcf_avg	9
3pro_enh_ctcf_avg	58
4other	324
4other	47
4other	223
4other	6
4other	0
4other	85
4other	75
4other	21
4other	44
4other	46
4other	344
4other	289
4other	216
4other	323
4other	282
4other	12
4other	56
4other	18
4other	4
4other	167
4other	317
4other	0
4other	150
4other	306
4other	264
4other	283
4other	220
5ctcf_like	253
5ctcf_like	338
5ctcf_like	266
5ctcf_like	0
5ctcf_like	251
5ctcf_like	314
5ctcf_like	184
5ctcf_like	341
5ctcf_like	246
5ctcf_like	300
5ctcf_like	232
