Tag	TED	10_fold_peak	promoter	enhancer	CTCF_binding_site	DBD	ED
ZNF808	13	1464	18654	7772	6775	C2H2 ZF	other
POU2F1	83	185	472	1437	389	other	other
HOXA3	71	0	2922	3244	2375	Homeodomain	other
PDX1	56	1731	31095	17145	15318	Homeodomain	A
HOXD12	73	3097	1640	12732	2535	Homeodomain	other
FEV	67	4273	24779	3750	5123	Ets	other
HOXA10	56	568	2894	9519	2702	Homeodomain	other
ARID5B	71	7	83	1674	267	other	other
SATB2	83	29	16665	4523	4884	other	R
HOXA5	50	1	1339	1848	1313	Homeodomain	other
NFIA	60	188	1630	6279	1843	other	A
NFIC	58	515	3107	7754	2581	other	A
KLF3	58	10284	32002	7963	11152	C2H2 ZF	AR
PAX6	53	3245	8065	8333	2811	other	R
SP7	63	309	14327	3759	3239	C2H2 ZF	A
KLF8	53	140	6082	449	1032	C2H2 ZF	R
NFIX	52	7441	5269	19210	5923	other	A
FOXA3	58	943	1182	5397	1882	other	A
NFIB	53	271	1838	7058	1772	other	A
FOXA1	55	2	63	1256	226	other	AR
HOXA9	46	0	7066	2744	3601	Homeodomain	other
DLX3	54	287	175	2142	366	Homeodomain	A
HOXB2	52	482	11967	8422	5484	Homeodomain	other
USF1	54	754	572	5845	1211	other	other
CPHXL	51	621	25112	8443	9201	Homeodomain	A
RFX5	51	636	4545	2390	2150	other	A
TPRX1	60	344	13311	5999	4124	Homeodomain	other
HOXA1	64	29	180	1670	218	Homeodomain	other
KLF16	44	9591	29279	7815	11210	C2H2 ZF	other
FLI1	41	7110	23245	5502	6806	Ets	A
TEAD1	42	4965	36792	21525	14369	other	A
SOX2	53	615	1065	5102	805	other	A
CRX	52	18085	16571	22656	6677	Homeodomain	A
TFAP2A	35	6404	22187	14151	11572	other	other
TFAP4	47	0	174	374	129	other	A
MAX	42	8590	28718	34249	25707	other	AR
FOXJ2	39	2188	14419	17502	8911	other	A
HNF4A	47	3416	9987	8274	3663	other	AR
ELF2	35	3740	14432	1778	2897	Ets	A
TBX21	45	323	238	2217	438	other	AR
TCF3	65	1	95	1823	336	other	other
EGR2	44	26999	28955	22422	15071	C2H2 ZF	A
RFX3	41	1659	12320	9955	5849	other	R
LEUTX	43	3	2488	617	595	Homeodomain	other
TLX1	42	6704	29101	17749	8958	Homeodomain	other
ETV2	42	982	19410	11089	7913	Ets	other
KLF12	39	12488	30424	8085	10773	C2H2 ZF	R
POU5F1	37	5	427	1528	334	other	other
TLX3	41	4778	22325	11646	5146	Homeodomain	other
GCM2	37	12	0	2	13	other	other
HNF1B	40	4949	1327	6610	960	Homeodomain	A
SPI1	33	30	13782	8088	6021	Ets	A
ELF1	36	2715	14775	1037	3311	Ets	A
LHX2	31	9	2287	892	430	Homeodomain	A
PAX7	34	371	25957	11106	8824	other	other
KLF15	33	18126	32174	11693	12048	C2H2 ZF	A
ZBTB7B	19	3	1380	837	542	C2H2 ZF	other
GATA3	30	11851	22371	11575	10306	other	A
HOXA2	24	7	4972	4242	2913	Homeodomain	other
BHLHA15	23	0	983	2774	1335	other	other
SPIC	30	1781	15446	7742	5231	Ets	other
ELK3	31	12309	29175	7182	10339	Ets	AR
GATA2	33	1297	668	5365	714	other	A
OTX2	23	0	2992	814	988	Homeodomain	other
PAX9	38	4876	36491	20833	13966	other	other
SOX6	41	1701	28110	8720	8410	other	AR
TBXT	35	3368	28123	14208	9471	other	A
FOXJ3	23	128	224	1600	232	other	other
LHX3	29	292	21782	9030	6493	Homeodomain	A
RFX2	21	161	556	650	299	other	other
SOX15	28	854	28237	9400	9260	other	AR
SATB1	22	127	22307	4487	6589	other	R
HOXA11	24	1590	2754	10441	2228	Homeodomain	other
HOXA4	21	0	97	660	209	Homeodomain	other
DUX4	50	322	513	1465	402	Homeodomain	A
ERG	29	4793	22139	11472	6641	Ets	other
HSF1	29	12	0	0	11	other	A
KLF5	32	5057	29317	11147	10843	C2H2 ZF	A
MYB	20	55	8051	1074	1480	other	A
SOX5	31	4327	31137	16078	12840	other	A
FOXL1	27	2751	13518	11378	4676	other	other
RFX1	18	24	400	527	219	other	A
ZHX2	41	12	13	263	62	Homeodomain	R
PAX8	28	126	4632	2450	1663	other	other
PBX4	23	4	64	612	213	Homeodomain	A
LHX4	26	391	10759	6019	3416	Homeodomain	other
MYOD1	18	22140	31906	23776	16055	other	A
VSX1	23	85	2063	3867	1376	Homeodomain	other
YY1	20	88	4702	918	667	C2H2 ZF	other
LHX1	12	6	5339	1377	1150	Homeodomain	other
SIX5	19	9	1	1	13	Homeodomain	A
SOX17	23	852	17586	8923	5101	other	A
CEBPG	14	1465	4886	9953	4498	other	A
PAX2	20	9734	30863	18353	11242	other	other
SPIB	14	181	19155	8915	7679	Ets	A
TLX2	23	1607	32571	18246	10465	Homeodomain	A
ELF4	25	7723	28121	6238	8968	Ets	A
RFX6	20	1355	4489	6622	2423	other	other
ZGPAT	11	3	16	185	74	other	R
NR2F6	16	22	3	55	22	other	R
PITX1	14	61	1849	81	128	Homeodomain	A
GABPA	19	1069	4826	474	563	Ets	other
KLF9	14	8195	26572	6793	7882	C2H2 ZF	other
FIGLA	9	2639	1220	7490	2396	other	other
FOXI1	19	1376	17762	8075	5437	other	A
GCM1	10	14034	26490	14607	8604	other	other
ELK1	16	907	22567	8765	8061	Ets	A
IRF4	16	159	24783	3352	6348	other	A
MYC	22	8	6062	913	1078	other	A
NFYC	11	1095	3267	780	569	other	A
ETV3	8	3170	25079	6110	8817	Ets	R
ETV3L	11	2	7	135	49	Ets	other
TPRX2	22	300	6916	5437	2302	Homeodomain	R
GLI2	21	6904	21780	9065	7011	C2H2 ZF	AR
IRF8	7	59	16646	5778	5176	other	AR
PRDM1	15	537	9520	4949	2696	C2H2 ZF	R
SOX10	11	112	8175	6860	3505	other	A
SOX9	10	355	10078	6578	3051	other	A
CPHXL2	9	10	3852	2374	1497	Homeodomain	other
FOS	8	2681	5772	9412	3208	other	other
HSF4	8	34	83	308	190	other	AR
KLF4	11	21922	22394	14323	10602	C2H2 ZF	A
ETV7	9	2264	35369	14366	14302	Ets	R
HES7	9	10	15	112	35	other	R
JAZF1	14	0	2781	1426	1193	C2H2 ZF	other
SMAD1	4	0	10329	3736	4058	other	other
ELF3	4	2	16946	4762	5221	other	AR
ELF5	7	162	9795	1662	1839	Ets	A
FOXQ1	10	750	22997	7234	6714	other	other
LHX6	4	1551	6693	6107	1790	Homeodomain	other
TEAD2	8	1713	32595	12820	11712	other	A
ETS1	6	94	1151	2048	519	Ets	other
GATA1	13	176	232	1536	230	other	AR
PPARG	8	0	988	216	176	other	A
TEAD3	11	5	12786	3304	3152	other	A
ALX4	6	14	2	13	10	Homeodomain	A
ZNF263	2	7958	30543	19649	16384	C2H2 ZF	other
ETV4	9	154	25398	5739	7199	Ets	A
ZBTB1	7	35	1	3	16	C2H2 ZF	R
ETV6	8	21	0	1	14	Ets	R
ZNF200	3	3372	9459	18320	5180	C2H2 ZF	other
DPRX	4	970	19191	11913	6711	Homeodomain	R
E2F3	9	6	2066	998	578	other	A
GABPB1	4	18	0	6	15	other	other
IRF1	3	3005	10998	8445	3799	other	AR
MYSM1	5	19	0	5	14	other	A
RFX4	5	21	11054	3723	5046	other	A
ZBTB33	5	7	1	0	9	C2H2 ZF	other
E2F1	8	4046	27653	12554	8566	other	A
GPBP1L1	10	21	1	0	11	other	other
HNF1A	4	380	794	2644	513	Homeodomain	A
KLF6	7	47	14626	2957	3658	C2H2 ZF	A
LHX8	2	0	177	62	43	Homeodomain	other
NFKB1	4	2051	23531	14261	9029	other	A
SIX4	4	37	1	49	20	Homeodomain	other
SP1	2	17916	26411	6283	8865	C2H2 ZF	AR
ZBTB9	5	5	5	19	6	C2H2 ZF	other
DUXA	1	164	2693	5187	2330	Homeodomain	R
DUXB	2	3	5877	3395	2483	Homeodomain	other
ISX	7	24	2235	3595	1377	Homeodomain	A
RFX8	4	5	6	198	72	other	other
EHF	0	88	9386	2443	3032	Ets	other
ETV1	1	87	26073	13696	11290	Ets	A
STAT1	3	0	5151	596	1123	other	A
ERF	1	533	12593	3119	3732	Ets	R
ETS2	0	21	12266	5744	4678	Ets	other
ETV5	0	919	19541	5346	5048	Ets	other
FOXO1	2	0	65	542	146	other	A
KLF10	1	3714	17074	8007	4908	C2H2 ZF	R
MEF2A	1	30	7180	15304	6349	other	A
SOX4	4	35	20829	3471	5606	other	A
STAT3	2	11	18461	5963	6536	other	A
STAT4	3	17	13573	1736	3038	other	A
CREB1	1	3	1955	920	689	other	A
ELK4	1	295	30502	15053	11135	Ets	AR
ESR1	1	42	2450	2964	1267	other	A
IRF3	1	11	27312	6480	8986	other	A
IRF5	0	71	28143	7454	9511	other	other
IRF9	1	794	25345	6847	6590	other	A
NFATC3	0	4	9073	2581	2514	other	other
NFATC4	1	6	10487	2899	2676	other	other
SPDEF	1	72	9737	2771	3129	Ets	A
SPZ1	0	17	21955	5205	7330	other	other
STAT5B	1	1186	30098	8698	11591	other	other
