Tag	cluster	ED	DBD
CEBPG	a	A	other
CPHXL	a	A	Homeodomain
CRX	a	A	Homeodomain
DPRX	a	R	Homeodomain
E2F1	a	A	other
EGR2	a	A	C2H2_ZF
ELF1	a	A	Ets
ELF2	a	A	Ets
ELF4	a	A	Ets
ELK1	a	A	Ets
ELK3	a	AR	Ets
ELK4	a	AR	Ets
ERF	a	R	Ets
ERG	a	other	Ets
ETV1	a	A	Ets
ETV2	a	other	Ets
ETV3	a	R	Ets
ETV4	a	A	Ets
ETV5	a	other	Ets
ETV7	a	R	Ets
FEV	a	other	Ets
FIGLA	a	other	other
FLI1	a	A	Ets
FOS	a	other	other
FOXA3	a	A	other
FOXI1	a	A	other
FOXJ2	a	A	other
FOXL1	a	other	other
FOXQ1	a	other	other
GABPA	a	other	Ets
GATA2	a	A	other
GATA3	a	A	other
GCM1	a	other	other
GLI2	a	AR	C2H2_ZF
HNF1B	a	A	Homeodomain
HNF4A	a	AR	other
HOXA10	a	other	Homeodomain
HOXA11	a	other	Homeodomain
HOXB2	a	other	Homeodomain
HOXD12	a	other	Homeodomain
IRF1	a	AR	other
IRF4	a	A	other
IRF5	a	other	other
IRF9	a	A	other
KLF10	a	R	C2H2_ZF
KLF12	a	R	C2H2_ZF
KLF15	a	A	C2H2_ZF
KLF16	a	other	C2H2_ZF
KLF3	a	AR	C2H2_ZF
KLF4	a	A	C2H2_ZF
KLF5	a	A	C2H2_ZF
KLF9	a	other	C2H2_ZF
LHX3	a	A	Homeodomain
LHX4	a	other	Homeodomain
LHX6	a	other	Homeodomain
MAX	a	AR	other
MYOD1	a	A	other
NFIB	a	A	other
NFIC	a	A	other
NFIX	a	A	other
NFKB1	a	A	other
NFYC	a	A	other
PAX2	a	other	other
PAX6	a	R	other
PAX7	a	other	other
PAX9	a	other	other
PDX1	a	A	Homeodomain
PRDM1	a	R	C2H2_ZF
RFX3	a	R	other
RFX5	a	A	other
RFX6	a	other	other
SATB1	a	R	other
SOX10	a	A	other
SOX15	a	AR	other
SOX17	a	A	other
SOX2	a	A	other
SOX5	a	A	other
SOX6	a	AR	other
SOX9	a	A	other
SP1	a	AR	C2H2_ZF
SP7	a	A	C2H2_ZF
SPIB	a	A	Ets
SPIC	a	other	Ets
STAT5B	a	other	other
TBXT	a	A	other
TEAD1	a	A	other
TEAD2	a	A	other
TFAP2A	a	other	other
TLX1	a	other	Homeodomain
TLX2	a	A	Homeodomain
TLX3	a	other	Homeodomain
TPRX1	a	other	Homeodomain
TPRX2	a	R	Homeodomain
USF1	a	other	other
ZNF200	a	other	C2H2_ZF
ZNF263	a	other	C2H2_ZF
ZNF808	a	other	C2H2_ZF
ARID5B	b	other	other
BHLHA15	b	other	other
CPHXL2	b	other	Homeodomain
CREB1	b	A	other
DLX3	b	A	Homeodomain
DUX4	b	A	Homeodomain
DUXA	b	R	Homeodomain
DUXB	b	other	Homeodomain
E2F3	b	A	other
EHF	b	other	Ets
ELF3	b	AR	other
ELF5	b	A	Ets
ESR1	b	A	other
ETS1	b	other	Ets
ETS2	b	other	Ets
FOXA1	b	AR	other
FOXJ3	b	other	other
FOXO1	b	A	other
GATA1	b	AR	other
HNF1A	b	A	Homeodomain
HOXA1	b	other	Homeodomain
HOXA2	b	other	Homeodomain
HOXA3	b	other	Homeodomain
HOXA4	b	other	Homeodomain
HOXA5	b	other	Homeodomain
HOXA9	b	other	Homeodomain
HSF4	b	AR	other
IRF3	b	A	other
IRF8	b	AR	other
ISX	b	A	Homeodomain
JAZF1	b	other	C2H2_ZF
KLF6	b	A	C2H2_ZF
KLF8	b	R	C2H2_ZF
LEUTX	b	other	Homeodomain
LHX1	b	other	Homeodomain
LHX2	b	A	Homeodomain
MEF2A	b	A	other
MYB	b	A	other
MYC	b	A	other
NFATC3	b	other	other
NFATC4	b	other	other
NFIA	b	A	other
OTX2	b	other	Homeodomain
PAX8	b	other	other
PBX4	b	A	Homeodomain
PITX1	b	A	Homeodomain
POU2F1	b	other	other
POU5F1	b	other	other
PPARG	b	A	other
RFX1	b	A	other
RFX2	b	other	other
RFX4	b	A	other
SATB2	b	R	other
SMAD1	b	other	other
SOX4	b	A	other
SPDEF	b	A	Ets
SPI1	b	A	Ets
SPZ1	b	other	other
STAT1	b	A	other
STAT3	b	A	other
STAT4	b	A	other
TBX21	b	AR	other
TCF3	b	other	other
TEAD3	b	A	other
TFAP4	b	A	other
VSX1	b	other	Homeodomain
YY1	b	other	C2H2_ZF
ZBTB7B	b	other	C2H2_ZF
ALX4	c	A	Homeodomain
ETV3L	c	other	Ets
ETV6	c	R	Ets
GABPB1	c	other	other
GCM2	c	other	other
GPBP1L1	c	other	other
HES7	c	R	other
HSF1	c	A	other
LHX8	c	other	Homeodomain
MYSM1	c	A	other
NR2F6	c	R	other
RFX8	c	other	other
SIX4	c	other	Homeodomain
SIX5	c	A	Homeodomain
ZBTB1	c	R	C2H2_ZF
ZBTB33	c	other	C2H2_ZF
ZBTB9	c	other	C2H2_ZF
ZGPAT	c	R	other
ZHX2	c	R	Homeodomain
