Tag	ASBnumber	RANKnumber
MAX	483	1
EGR2	336	2
TEAD1	579	3
CRX	331	4
KLF3	430	5
PAX9	608	6
MYOD1	551	7
KLF15	443	8
PDX1	419	9
TLX1	396	10
KLF16	419	11
KLF12	471	12
TFAP2A	332	13
SOX5	429	14
GATA3	238	15
PAX2	371	16
ELK3	376	17
KLF5	412	18
TBXT	392	19
NFIX	110	20
FOXJ2	210	21
TLX3	290	22
FLI1	214	23
KLF4	267	24
FEV	217	25
TLX2	529	26
SOX6	358	27
ERG	265	28
ELF4	308	29
CPHXL	384	30
GCM1	399	31
ETV2	147	32
GLI2	257	33
RFX3	135	34
HNF4A	104	35
SOX15	313	36
KLF9	315	37
ETV7	500	38
PAX7	370	39
PAX6	73	40
FOXL1	187	41
HOXD12	25	42
SPIC	122	43
HOXB2	156	44
E2F1	489	45
TEAD2	472	46
ZNF263	312	47
TPRX1	158	48
ELK1	225	49
LHX3	273	50
SOX17	282	51
FOXI1	168	52
ETV3	296	53
ZNF808	222	54
SP7	201	55
ELF2	106	56
HOXA10	62	57
NFIC	38	58
SATB2	185	59
NFKB1	432	60
SP1	384	61
ELF1	112	62
FOXQ1	235	63
CEBPG	94	64
SPIB	134	65
LHX4	119	66
HOXA11	94	67
SATB1	266	68
HNF1B	46	69
SPI1	103	70
FOXA3	17	71
ZNF200	125	72
RFX6	72	73
RFX5	39	74
DPRX	318	75
FOS	44	76
IRF4	256	77
NFIB	10	78
ETV4	272	79
NFIA	31	80
PRDM1	116	81
TPRX2	127	82
STAT5B	393	83
IRF1	196	84
USF1	9	85
SOX9	147	86
SOX2	34	87
ELK4	479	88
KLF10	297	89
FIGLA	25	90
SOX10	142	91
GATA2	33	92
IRF9	332	93
IRF8	214	94
PAX8	53	95
ETV1	171	96
LHX6	108	97
KLF8	67	98
VSX1	59	99
HOXA2	57	100
KLF6	132	101
SOX4	231	102
HOXA9	51	103
HOXA3	30	104
POU2F1	2	105
ETV5	204	106
MYB	56	107
GABPA	31	108
ELF5	64	109
RFX4	105	110
ERF	68	111
DUX4	28	112
TEAD3	152	113
IRF5	282	114
TBX21	4	115
MEF2A	338	116
DLX3	2	117
STAT3	175	118
IRF3	326	119
NFYC	18	120
YY1	36	121
ELF3	178	122
HOXA5	20	123
MYC	27	124
ISX	68	125
STAT4	124	126
SPDEF	69	127
DUXA	87	128
CPHXL2	75	129
SPZ1	221	130
LHX1	35	131
HOXA1	11	132
LHX2	17	133
LEUTX	30	134
ETS2	75	135
SMAD1	118	136
HNF1A	14	137
RFX2	5	138
FOXJ3	2	139
BHLHA15	18	140
EHF	65	141
ETS1	19	142
NFATC4	116	143
ARID5B	4	144
POU5F1	49	145
DUXB	87	146
OTX2	25	147
GATA1	8	148
JAZF1	37	149
ESR1	28	150
ZBTB7B	14	151
TCF3	12	152
E2F3	24	153
RFX1	2	154
NFATC3	109	155
FOXA1	2	156
PITX1	16	157
STAT1	32	158
PBX4	1	159
TFAP4	1	160
CREB1	23	161
HOXA4	5	162
HSF4	0	163
ZHX2	4	164
PPARG	8	165
ZGPAT	0	166
FOXO1	1	167
HES7	0	168
ETV3L	0	169
NR2F6	0	170
RFX8	0	171
LHX8	1	172
SIX4	0	173
GCM2	0	174
ALX4	0	175
ZBTB1	0	176
SIX5	0	177
ZBTB9	0	178
HSF1	0	179
MYSM1	0	180
GABPB1	0	181
ETV6	0	182
GPBP1L1	0	183
ZBTB33	0	184
