	MAX	EGR2	TEAD1	CRX	KLF3	PAX9	MYOD1	KLF15	PDX1	TLX1	KLF16	KLF12	TFAP2A	SOX5	GATA3	PAX2	ELK3	KLF5	TBXT	NFIX	FOXJ2	TLX3	FLI1	KLF4	FEV	TLX2	SOX6	ERG	ELF4	CPHXL	GCM1	ETV2	GLI2	RFX3	HNF4A	SOX15	KLF9	ETV7	PAX7	PAX6	FOXL1	HOXD12	SPIC	HOXB2	E2F1	TEAD2	ZNF263	TPRX1	ELK1	LHX3	SOX17	FOXI1	ETV3	ZNF808	SP7	ELF2	HOXA10	NFIC	SATB2	NFKB1	SP1	ELF1	FOXQ1	CEBPG	SPIB	LHX4	HOXA11	SATB1	HNF1B	SPI1	FOXA3	ZNF200	RFX6	RFX5	DPRX	FOS	IRF4	NFIB	ETV4	NFIA	PRDM1	TPRX2	STAT5B	IRF1	USF1	SOX9	SOX2	ELK4	KLF10	FIGLA	SOX10	GATA2	IRF9	IRF8	PAX8	ETV1	LHX6	KLF8	VSX1	HOXA2	KLF6	SOX4	HOXA9	HOXA3	POU2F1	ETV5	MYB	GABPA	ELF5	RFX4	ERF	DUX4	TEAD3	IRF5	TBX21	MEF2A	DLX3	STAT3	IRF3	NFYC	YY1	ELF3	HOXA5	MYC	ISX	STAT4	SPDEF	DUXA	CPHXL2	SPZ1	LHX1	HOXA1	LHX2	LEUTX	ETS2	SMAD1	HNF1A	RFX2	FOXJ3	BHLHA15	EHF	ETS1	NFATC4	ARID5B	POU5F1	DUXB	OTX2	GATA1	JAZF1	ESR1	ZBTB7B	TCF3	E2F3	RFX1	NFATC3	FOXA1	PITX1	STAT1	PBX4	TFAP4	CREB1	HOXA4	HSF4	ZHX2	PPARG	ZGPAT	FOXO1	HES7	ETV3L	NR2F6	RFX8	LHX8	SIX4	GCM2	ALX4	ZBTB1	SIX5	ZBTB9	HSF1	MYSM1	GABPB1	ETV6	GPBP1L1	ZBTB33
BLCA	17	6	16	10	14	22	14	16	17	14	17	13	14	14	10	11	16	15	13	3	6	10	5	9	10	11	10	6	12	14	9	3	12	4	4	8	7	12	12	3	6	0	5	7	14	11	7	2	3	5	4	7	7	3	4	5	2	3	5	13	12	2	14	2	2	3	0	11	0	1	0	9	2	1	6	0	9	0	8	1	5	2	10	12	0	1	3	19	8	0	1	0	11	11	1	5	2	1	4	3	2	10	0	1	0	4	6	2	2	4	4	1	2	10	0	3	0	6	9	1	0	7	0	1	1	3	6	0	0	3	0	1	1	0	2	2	0	0	0	0	1	0	6	0	5	1	2	1	0	0	1	0	1	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRCA	36	16	29	26	21	38	21	20	26	15	17	23	25	29	19	27	26	23	13	4	21	19	9	14	15	26	18	14	16	23	17	9	19	7	8	14	13	23	19	2	10	1	13	14	31	24	19	5	12	13	12	11	16	9	12	7	5	5	13	22	20	8	22	10	3	10	2	13	1	4	2	14	5	6	18	1	16	0	12	1	8	7	16	12	0	7	4	24	17	1	6	3	15	9	4	10	8	2	5	5	10	14	1	2	0	9	5	1	6	8	8	2	3	17	0	13	0	9	14	1	1	11	0	5	1	5	4	2	3	12	1	1	2	1	3	7	0	0	0	2	3	1	5	0	4	3	1	0	4	1	2	1	5	0	5	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CESC	11	6	13	9	7	17	7	7	12	10	8	13	10	10	9	6	10	11	11	4	5	6	5	5	4	11	11	3	3	9	11	3	6	1	1	9	7	15	8	1	3	0	4	6	6	13	5	3	4	5	6	7	5	2	2	3	1	1	2	10	6	4	7	1	1	1	0	4	2	2	0	1	1	0	8	1	6	0	9	0	2	3	5	5	0	1	3	12	5	0	3	0	7	4	0	1	3	1	3	1	0	5	1	0	0	5	3	1	2	4	2	1	0	3	0	5	0	2	7	0	1	6	0	2	0	1	2	2	0	2	0	0	3	1	1	2	0	0	0	0	0	1	2	0	3	2	1	1	2	0	1	0	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COAD	20	10	27	11	15	25	13	12	16	9	12	21	15	18	9	15	19	16	13	5	13	12	6	5	11	20	18	7	16	18	16	4	10	3	3	9	12	18	13	2	7	1	5	9	18	17	5	3	7	10	7	7	8	4	3	5	5	2	5	17	11	5	10	2	5	3	2	13	0	0	0	7	2	0	11	1	9	0	12	1	3	2	12	10	0	6	4	19	9	0	6	0	12	9	1	3	4	2	3	3	7	8	2	1	0	8	4	1	5	7	4	1	5	12	0	8	0	8	10	1	0	9	0	2	0	4	6	0	2	4	0	0	2	1	1	2	0	0	0	0	3	1	2	0	3	2	1	1	3	0	1	1	2	0	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESCA	7	2	5	5	6	7	3	3	5	4	6	3	6	4	2	3	5	5	7	1	6	6	5	0	4	6	3	1	3	6	3	2	5	1	1	1	2	5	7	0	1	0	2	7	3	6	1	2	2	1	1	7	2	3	1	1	0	1	2	2	2	1	6	1	0	1	0	4	0	1	0	3	0	0	4	0	3	0	3	1	2	1	2	2	0	1	3	3	2	0	1	0	3	5	0	0	0	0	1	2	1	4	0	1	0	2	1	0	0	3	4	0	1	2	0	4	0	3	5	1	0	2	0	0	2	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM	7	5	7	5	7	10	6	8	8	7	11	8	14	5	4	6	7	8	5	3	3	6	4	1	3	3	5	2	4	10	9	3	7	2	2	3	3	9	6	1	4	0	1	5	9	6	4	0	3	4	5	3	3	1	1	0	1	2	2	7	6	0	6	0	1	3	1	4	0	4	0	3	1	0	4	0	5	0	8	1	1	0	6	6	0	2	2	7	4	0	3	0	4	4	0	2	1	0	2	1	1	8	0	0	0	3	0	2	0	3	2	0	1	7	0	2	0	2	6	0	0	3	0	0	0	2	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	2	0	2	1	0	1	0	0	1	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNSC	32	14	32	22	22	33	28	20	27	20	20	24	20	20	16	19	23	15	16	5	13	19	12	19	14	20	23	12	19	24	24	6	17	7	4	14	17	23	22	5	10	1	11	13	29	32	10	6	12	13	11	14	12	12	6	7	5	3	10	20	19	9	20	5	7	3	0	19	0	5	1	9	2	1	17	1	18	0	14	2	5	8	13	14	0	6	5	22	23	0	6	0	17	18	2	7	3	1	4	5	8	14	1	1	0	12	8	1	6	9	5	0	5	16	0	11	0	12	16	1	1	11	0	2	2	6	7	1	4	8	1	0	3	1	4	3	0	0	0	0	2	0	8	0	5	4	3	1	6	2	1	0	5	0	7	0	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KICH	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIRC	53	23	51	41	43	56	57	35	36	33	40	42	43	41	23	37	46	44	36	11	23	31	17	27	24	36	34	17	36	40	37	16	33	17	12	26	26	43	35	10	23	2	15	22	40	39	30	11	19	25	22	18	26	20	13	13	9	5	17	38	33	11	34	11	15	12	7	29	0	9	0	15	5	4	34	3	26	1	18	4	11	13	39	19	0	18	7	49	31	6	15	0	28	23	8	14	9	5	7	7	15	27	3	5	0	22	7	3	9	15	9	0	6	25	0	13	0	14	23	2	1	21	1	5	4	11	8	4	3	20	4	2	3	2	7	10	0	0	0	0	4	1	9	0	6	10	2	2	6	3	1	0	9	0	6	0	5	8	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIRP	22	8	26	13	17	23	16	16	13	13	15	22	22	18	8	12	19	18	14	7	9	10	5	7	9	17	17	4	19	21	16	7	13	6	4	7	11	23	20	4	8	1	5	7	18	15	13	4	8	10	10	9	8	7	5	6	2	2	6	10	15	2	12	3	7	3	2	12	2	3	0	10	4	1	16	2	12	0	13	1	6	2	15	9	0	5	4	21	9	1	5	1	11	11	1	3	2	2	3	2	3	14	2	2	0	7	5	1	2	9	5	1	2	10	0	6	0	8	13	1	2	12	0	1	0	3	5	1	1	5	1	0	1	0	2	1	0	0	0	0	2	2	3	0	1	4	1	1	2	0	2	0	3	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
