BHLHA15 6 10 FIGLA 6 10
DPRX 6 10 KLF8 6 10
EGR3 6 10 KLF10 6 10
EHF 6 10 ELF1 6 10
EHF 6 10 ELF4 6 10
EHF 6 10 KLF8 6 10
ELF1 6 10 ELF2 6 10
ELF1 6 10 ELF4 6 10
ELF1 6 10 ELK1 6 10
ELF1 6 10 ERF 6 10
ELF1 6 10 ERG 6 10
ELF1 6 10 ETV2 6 10
ELF1 6 10 ETV3 6 10
ELF1 6 10 ETV4 6 10
ELF1 6 10 ETV5 6 10
ELF1 6 10 ETV7 6 10
ELF1 6 10 FLI1 6 10
ELF1 6 10 GABPA 6 10
ELF1 6 10 KLF8 6 10
ELF1 6 10 RREB1 6 10
ELF1 6 10 SPIC 6 10
ELF2 6 10 ELF4 6 10
ELF2 6 10 ELK1 6 10
ELF2 6 10 ERF 6 10
ELF2 6 10 ERG 6 10
ELF2 6 10 ETV2 6 10
ELF2 6 10 ETV3 6 10
ELF2 6 10 ETV7 6 10
ELF2 6 10 FLI1 6 10
ELF2 6 10 GABPA 6 10
ELF2 6 10 KLF8 6 10
ELF2 6 10 RREB1 6 10
ELF2 6 10 SPI1 6 10
ELF4 6 10 ELK1 6 10
ELF4 6 10 ELK4 6 10
ELF4 6 10 ERF 6 10
ELF4 6 10 ERG 6 10
ELF4 6 10 ETV2 6 10
ELF4 6 10 ETV3 6 10
ELF4 6 10 ETV4 6 10
ELF4 6 10 ETV5 6 10
ELF4 6 10 ETV7 6 10
ELF4 6 10 FLI1 6 10
ELF4 6 10 GABPA 6 10
ELF4 6 10 KLF8 6 10
ELF4 6 10 RREB1 6 10
ELF4 6 10 SPIC 6 10
ELF5 6 10 FLI1 6 10
ELK1 6 10 ERF 6 10
ELK1 6 10 ERG 6 10
ELK1 6 10 ETV3 6 10
ELK1 6 10 ETV5 6 10
ELK1 6 10 ETV7 6 10
ELK1 6 10 FLI1 6 10
ELK1 6 10 GABPA 6 10
ELK1 6 10 KLF5 6 10
ELK4 6 10 ERG 6 10
ELK4 6 10 ETV3 6 10
ELK4 6 10 ETV4 6 10
ELK4 6 10 ETV5 6 10
ELK4 6 10 FLI1 6 10
ELK4 6 10 HOXB13 6 10
ERF 6 10 ERG 6 10
ERF 6 10 ETV3 6 10
ERF 6 10 ETV7 6 10
ERF 6 10 FLI1 6 10
ERF 6 10 GABPA 6 10
ERF 6 10 RREB1 6 10
ERG 6 10 ETV2 6 10
ERG 6 10 ETV3 6 10
ERG 6 10 ETV4 6 10
ERG 6 10 ETV5 6 10
ERG 6 10 ETV7 6 10
ERG 6 10 FLI1 6 10
ETS1 6 10 ETV2 6 10
ETV2 6 10 ETV3 6 10
