Tag	Type	ID	TPRX2P	LHX8	FOXQ1	PAX9	EGR2	ELK3	ETV5	FOXI1	KLF3	LHX4	ETV4	TLX3	PAX2	SOX10	PAX7	SP7	KLF12	HOXB2	ERG	ETS1	VSX1	GCM1	HNF1B	PAX6	IRF9	TBXT	FOXJ2	TBX21
TCGA-OR-A5K3-01	Endocrine	TCGA-OR-A5K3-01	-9.9658	-9.9658	-9.9658	-4.6082	-4.2934	-0.1504	1.3283	-9.9658	3.1011	-4.6082	-4.0350	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-1.3548	-0.7588	0.1903	-9.9658	-9.9658	-5.0116	-2.3884	4.4887	-9.9658	0.8488	-6.5064
TCGA-OR-A5JF-01	Endocrine	TCGA-OR-A5JF-01	-9.9658	-9.9658	-6.5064	-3.6259	-0.7108	3.0110	4.3148	-9.9658	3.7204	-2.6349	2.6302	-4.0350	-9.9658	-9.9658	-5.0116	-9.9658	-1.7809	4.4667	0.7579	2.0912	-0.8863	-6.5064	-9.9658	-1.2142	4.5442	-5.5735	2.1702	-4.2934
TCGA-OR-A5LK-01	Endocrine	TCGA-OR-A5LK-01	-9.9658	-9.9658	-9.9658	-0.2159	-0.5125	1.8201	1.4065	-9.9658	1.6740	-4.0350	-4.6082	-3.3076	-2.6349	-9.9658	-9.9658	-6.5064	-2.0529	3.0859	0.2154	2.0946	-9.9658	-4.6082	-9.9658	-2.8262	3.8269	-9.9658	1.5366	-2.5479
TCGA-OR-A5K1-01	Endocrine	TCGA-OR-A5K1-01	-9.9658	-9.9658	-9.9658	-3.3076	-2.3147	3.5224	1.8201	-3.6259	2.9525	-3.6259	-2.5479	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.1345	0.5568	1.9895	3.5523	-9.9658	-9.9658	-9.9658	-1.2828	4.5473	-9.9658	2.3981	-2.1140
TCGA-PK-A5HA-01	Endocrine	TCGA-PK-A5HA-01	-9.9658	-9.9658	-9.9658	-5.5735	-1.3183	1.7786	3.3549	-9.9658	3.0217	-2.9324	-3.3076	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-0.9971	0.8883	0.7321	3.0859	-5.5735	-6.5064	-6.5064	-2.3147	4.2196	-9.9658	2.5707	-1.8314
TCGA-OR-A5LN-01	Endocrine	TCGA-OR-A5LN-01	-9.9658	-9.9658	-9.9658	-6.5064	-1.8836	1.0433	2.4008	-9.9658	1.4174	-5.0116	-3.4580	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	1.9601	-0.0277	1.3225	-9.9658	-6.5064	-6.5064	-2.2447	3.9156	-9.9658	0.9568	-2.1140
TCGA-OR-A5L8-01	Endocrine	TCGA-OR-A5L8-01	-9.9658	-9.9658	-9.9658	-2.7274	-2.9324	4.1772	6.0319	-9.9658	4.8660	-1.9942	4.5405	-9.9658	-4.6082	-9.9658	-9.9658	-5.0116	0.8961	-1.0559	0.5370	2.3135	-2.3147	-6.5064	-6.5064	-0.5332	5.5714	-9.9658	3.0446	-4.6082
TCGA-OR-A5JT-01	Endocrine	TCGA-OR-A5JT-01	-9.9658	-6.5064	-9.9658	0.8164	-1.1488	3.2481	2.9090	-5.5735	3.5249	-1.9942	-3.0469	-4.2934	-4.2934	-6.5064	-9.9658	-9.9658	0.6425	-0.7588	1.1184	3.3336	-9.9658	-6.5064	-9.9658	-1.0862	4.8605	-9.9658	3.1458	-4.0350
TCGA-OR-A5LC-01	Endocrine	TCGA-OR-A5LC-01	-9.9658	-9.9658	-9.9658	-9.9658	-0.9406	2.2663	5.1169	-9.9658	3.6219	-2.6349	3.5669	-9.9658	-9.9658	-9.9658	-9.9658	-3.8160	-2.5479	5.2103	0.5170	2.8240	-9.9658	-6.5064	-9.9658	-1.5105	7.4031	-9.9658	2.7029	-3.8160
TCGA-OR-A5JM-01	Endocrine	TCGA-OR-A5JM-01	-9.9658	-9.9658	-9.9658	-9.9658	-0.6873	1.3283	5.9789	-9.9658	4.5417	-0.4921	6.1607	-9.9658	-3.6259	-9.9658	-9.9658	1.6785	1.4808	3.1212	-0.3383	1.0222	-6.5064	-4.2934	-6.5064	1.3340	5.4874	-9.9658	3.2405	-6.5064
TCGA-OR-A5K5-01	Endocrine	TCGA-OR-A5K5-01	-9.9658	-9.9658	-9.9658	-9.9658	-1.6394	2.1862	7.1636	-9.9658	3.7193	-0.5125	4.1458	-5.5735	-2.1140	-9.9658	-9.9658	-5.0116	-3.0469	-0.4325	-0.6416	1.0847	-9.9658	-9.9658	-5.5735	1.2815	5.6534	-5.0116	2.2842	-5.5735
TCGA-OR-A5JA-01	Endocrine	TCGA-OR-A5JA-01	-4.6082	-9.9658	-9.9658	-3.3076	-1.2481	1.2394	3.4713	-9.9658	3.9974	-5.5735	2.1313	1.5950	-3.1714	-9.9658	-9.9658	-5.5735	-0.4325	3.1781	0.4233	2.3135	-5.5735	-1.8314	-6.5064	-1.8836	5.3995	-9.9658	3.2158	-9.9658
TCGA-OR-A5LS-01	Endocrine	TCGA-OR-A5LS-01	-9.9658	-9.9658	-5.5735	-3.6259	-3.8160	3.0287	5.1704	-9.9658	4.1740	-1.5105	4.1368	-5.0116	-1.6394	-9.9658	-5.5735	-3.6259	-3.1714	4.8635	1.0983	3.4752	-3.4580	-9.9658	-9.9658	-1.4699	7.7602	-4.6082	2.4597	-4.6082
TCGA-OR-A5J5-01	Endocrine	TCGA-OR-A5J5-01	-9.9658	-9.9658	-6.5064	-3.8160	-2.8262	0.1776	1.8879	-9.9658	1.6281	-5.5735	2.1013	3.0808	-0.8339	-9.9658	-9.9658	-6.5064	-3.0469	-0.5973	-0.3022	1.0983	-9.9658	-4.0350	-6.5064	-1.6394	5.4709	-4.2934	1.4120	-3.6259
TCGA-OR-A5JK-01	Endocrine	TCGA-OR-A5JK-01	-9.9658	-9.9658	-6.5064	-9.9658	0.0718	1.0711	2.8897	-6.5064	2.5610	-4.2934	-1.3921	-3.8160	-9.9658	-9.9658	-9.9658	-5.5735	-2.3884	3.5111	0.6608	2.4623	-0.9132	-5.0116	-9.9658	-2.2447	5.9074	-9.9658	1.4652	-1.4305
TCGA-OR-A5JL-01	Endocrine	TCGA-OR-A5JL-01	-9.9658	-9.9658	-9.9658	-2.8262	-0.7588	2.3366	3.7699	-9.9658	4.7263	-4.2934	2.1213	-4.2934	-9.9658	-9.9658	-9.9658	-6.5064	-1.2481	0.3231	1.6093	3.4318	-3.8160	-3.0469	-9.9658	-0.6416	5.5877	-9.9658	1.8564	-3.4580
TCGA-OR-A5LG-01	Endocrine	TCGA-OR-A5LG-01	-9.9658	-9.9658	-6.5064	-6.5064	-2.7274	0.9115	5.0453	-9.9658	3.4856	-4.0350	2.2573	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	0.5763	-0.2328	1.2147	-0.7834	-9.9658	-9.9658	-1.6850	5.5952	-9.9658	1.3791	-2.8262
TCGA-OR-A5JW-01	Endocrine	TCGA-OR-A5JW-01	-9.9658	-9.9658	-9.9658	-5.0116	0.3460	3.2049	4.5946	-9.9658	4.1931	-3.1714	2.3564	-3.4580	-4.0350	-9.9658	-9.9658	-9.9658	-2.1140	3.9865	1.3397	2.8482	-6.5064	-3.6259	-9.9658	-1.5105	6.3764	-9.9658	3.0498	-3.8160
TCGA-P6-A5OG-01	Endocrine	TCGA-P6-A5OG-01	-9.9658	-9.9658	-3.6259	3.9663	2.9205	5.3817	4.1555	-9.9658	3.2343	-2.7274	3.1228	-9.9658	-9.9658	-2.6349	-9.9658	-5.0116	0.8647	2.0430	2.9729	5.7772	-9.9658	-4.6082	-9.9658	2.9784	6.0106	-9.9658	2.2693	0.5271
