Tag	TFPAIR	relaxed	constrained	cluster	ED	DBD
MAX	tfpair	yes	no	1	AR	other
EGR2	no	no	no	1	A	C2H2_ZF
TEAD1	tfpair	yes	no	1	A	other
CRX	no	no	no	1	A	Homeodomain
KLF3	no	no	no	1	AR	C2H2_ZF
PAX9	no	no	no	1	other	other
MYOD1	no	no	no	1	A	other
KLF15	no	no	no	1	A	C2H2_ZF
PDX1	tfpair	yes	no	1	A	Homeodomain
TLX1	no	no	no	1	other	Homeodomain
KLF16	no	no	no	1	other	C2H2_ZF
KLF12	no	no	no	1	R	C2H2_ZF
TFAP2A	tfpair	yes	no	1	other	other
SOX5	no	no	no	1	A	other
GATA3	tfpair	yes	no	1	A	other
PAX2	no	no	no	1	other	other
ELK3	no	no	no	1	AR	Ets
KLF5	tfpair	yes	no	1	A	C2H2_ZF
TBXT	tfpair	yes	no	1	A	other
NFIX	tfpair	yes	no	1	A	other
FOXJ2	tfpair	no	yes	1	A	other
TLX3	no	no	no	1	other	Homeodomain
FLI1	tfpair	yes	no	1	A	Ets
KLF4	tfpair	yes	yes	1	A	C2H2_ZF
FEV	no	no	no	1	other	Ets
TLX2	tfpair	no	yes	1	A	Homeodomain
SOX6	no	no	no	1	AR	other
ERG	tfpair	yes	yes	1	other	Ets
ELF4	tfpair	yes	no	1	A	Ets
CPHXL	no	no	no	1	A	Homeodomain
GCM1	no	no	no	1	other	other
ETV2	tfpair	yes	no	1	other	Ets
GLI2	no	no	no	1	AR	C2H2_ZF
RFX3	tfpair	no	yes	1	R	other
HNF4A	no	no	no	1	AR	other
SOX15	no	no	no	1	AR	other
KLF9	no	no	no	1	other	C2H2_ZF
ETV7	tfpair	yes	yes	1	R	Ets
PAX7	no	no	no	1	other	other
PAX6	no	no	no	1	R	other
FOXL1	tfpair	no	yes	1	other	other
HOXD12	no	no	no	1	other	Homeodomain
SPIC	tfpair	yes	yes	1	other	Ets
HOXB2	tfpair	no	yes	1	other	Homeodomain
E2F1	no	no	no	1	A	other
TEAD2	no	no	no	1	A	other
ZNF263	tfpair	yes	yes	1	other	C2H2_ZF
TPRX1	no	no	no	1	other	Homeodomain
ELK1	tfpair	yes	no	1	A	Ets
LHX3	no	no	no	1	A	Homeodomain
SOX17	tfpair	no	yes	1	A	other
FOXI1	no	no	no	1	A	other
ETV3	tfpair	yes	no	1	R	Ets
ZNF808	no	no	no	1	other	C2H2_ZF
SP7	tfpair	yes	no	1	A	C2H2_ZF
ELF2	tfpair	yes	no	1	A	Ets
HOXA10	tfpair	yes	no	1	other	Homeodomain
NFIC	tfpair	yes	no	1	A	other
SATB2	no	no	no	2	R	other
NFKB1	tfpair	yes	no	1	A	other
SP1	no	no	no	1	AR	C2H2_ZF
ELF1	tfpair	yes	no	1	A	Ets
FOXQ1	no	no	no	1	other	other
CEBPG	no	no	no	1	A	other
SPIB	tfpair	yes	yes	1	A	Ets
LHX4	no	no	no	1	other	Homeodomain
HOXA11	tfpair	yes	no	1	other	Homeodomain
SATB1	no	no	no	1	R	other
HNF1B	tfpair	yes	no	1	A	Homeodomain
SPI1	tfpair	yes	yes	2	A	Ets
FOXA3	tfpair	no	yes	1	A	other
ZNF200	no	no	no	1	other	C2H2_ZF
RFX6	no	no	no	1	other	other
RFX5	tfpair	no	yes	1	A	other
DPRX	tfpair	yes	no	1	R	Homeodomain
FOS	no	no	no	1	other	other
IRF4	no	no	no	1	A	other
NFIB	tfpair	yes	no	1	A	other
ETV4	tfpair	yes	no	1	A	Ets
NFIA	tfpair	yes	no	2	A	other
PRDM1	tfpair	no	yes	1	R	C2H2_ZF
TPRX2	no	no	no	1	R	Homeodomain
STAT5B	no	no	no	1	other	other
IRF1	tfpair	yes	yes	1	AR	other
USF1	no	no	no	1	other	other
SOX9	tfpair	no	yes	1	A	other
SOX2	no	no	no	1	A	other
ELK4	tfpair	yes	no	1	AR	Ets
KLF10	tfpair	yes	yes	1	R	C2H2_ZF
FIGLA	tfpair	yes	yes	1	other	other
SOX10	no	no	no	1	A	other
GATA2	tfpair	yes	yes	1	A	other
IRF9	no	no	no	1	A	other
IRF8	no	no	no	2	AR	other
PAX8	no	no	no	2	other	other
ETV1	no	no	no	1	A	Ets
LHX6	no	no	no	1	other	Homeodomain
KLF8	tfpair	yes	yes	2	R	C2H2_ZF
VSX1	no	no	no	2	other	Homeodomain
HOXA2	no	no	no	2	other	Homeodomain
KLF6	tfpair	yes	no	2	A	C2H2_ZF
SOX4	no	no	no	2	A	other
HOXA9	no	no	no	2	other	Homeodomain
HOXA3	no	no	no	2	other	Homeodomain
POU2F1	no	no	no	2	other	other
ETV5	tfpair	yes	no	1	other	Ets
MYB	no	no	no	2	A	other
GABPA	tfpair	yes	yes	1	other	Ets
ELF5	tfpair	yes	no	2	A	Ets
RFX4	no	no	no	2	A	other
ERF	tfpair	yes	no	1	R	Ets
DUX4	no	no	no	2	A	Homeodomain
TEAD3	no	no	no	2	A	other
IRF5	no	no	no	1	other	other
TBX21	no	no	no	2	AR	other
MEF2A	no	no	no	2	A	other
DLX3	no	no	no	2	A	Homeodomain
STAT3	no	no	no	2	A	other
IRF3	no	no	no	2	A	other
NFYC	tfpair	yes	no	1	A	other
YY1	tfpair	yes	no	2	other	C2H2_ZF
ELF3	tfpair	no	yes	2	AR	other
HOXA5	no	no	no	2	other	Homeodomain
MYC	no	no	no	2	A	other
ISX	no	no	no	2	A	Homeodomain
STAT4	no	no	no	2	A	other
SPDEF	no	no	no	2	A	Ets
